BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,PAY_MTD_CDE,PAY_AMT,IS_MEMBER,LC_OCT_ID
A002,3824,2014/7/27,2,OC,20,Y,54890
A002,3825,2014/7/27,1,OC,20,Y,54890
A002,12583,2014/7/2,1,OC,22,Y,54890
A002,14408,2014/7/3,1,VH,5,Y,54890
A002,14408,2014/7/3,2,OC,20,Y,54890
A002,14408,2014/7/3,1,VH,5,Y,54890
A002,14408,2014/7/3,2,OC,20,Y,54890
A002,14408,2014/7/3,1,VH,5,Y,54890
A002,14408,2014/7/3,2,OC,20,Y,54890
A002,7184,2014/7/6,1,VH,5,Y,54890
A002,7184,2014/7/6,2,OC,21,Y,54890
A002,7185,2014/7/6,1,VH,5,Y,54890
A002,7185,2014/7/6,2,OC,20,Y,54890
A001,12287,2014/7/23,2,OC,27,Y,54950
A001,12287,2014/7/23,2,OC,27,Y,54950
A001,12287,2014/7/23,1,VH,5,Y,54950
A001,12287,2014/7/23,1,VH,5,Y,54950
A001,773,2014/7/14,1,CA,100,Y,54950
A001,773,2014/7/14,1,CA,100,Y,54950
A001,1700,2014/7/14,2,CH,400,Y,54950
A001,1700,2014/7/14,2,CH,400,Y,54950
A001,1700,2014/7/14,1,CA,500,Y,54950
A001,1700,2014/7/14,1,CA,500,Y,54950
A001,16976,2014/7/3,1,OC,27,Y,54950
A001,16976,2014/7/3,1,OC,27,Y,54950
A001,15102,2014/7/27,1,CA,100,Y,54950
A001,15102,2014/7/27,1,CA,100,Y,54950
A001,3747,2014/7/20,1,OC,32,Y,54950
A001,3747,2014/7/20,1,OC,32,Y,54950
A001,3338,2014/7/4,2,OC,22,Y,54950
A001,3338,2014/7/4,2,OC,22,Y,54950
A001,3338,2014/7/4,1,VH,5,Y,54950
A001,3338,2014/7/4,1,VH,5,Y,54950
A001,15728,2014/7/28,1,CA,200,Y,54950
A001,15728,2014/7/28,1,CA,200,Y,54950
A001,11731,2014/7/22,1,OC,32,Y,54950
A001,11731,2014/7/22,1,OC,32,Y,54950
A001,15006,2014/7/13,1,OC,48,Y,54950
A001,15006,2014/7/13,1,OC,48,Y,54950
A001,15740,2014/7/28,1,OC,36,Y,54950
A001,15740,2014/7/28,1,OC,36,Y,54950
A001,12289,2014/7/23,2,OC,30,Y,54950
A001,12289,2014/7/23,2,OC,30,Y,54950
A001,12289,2014/7/23,1,VH,10,Y,54950
A001,12289,2014/7/23,1,VH,10,Y,54950
A001,16532,2014/7/16,1,CA,100,Y,54950
A001,16532,2014/7/16,1,CA,100,Y,54950
A001,1973,2014/7/15,2,OC,35,Y,54950
A001,1973,2014/7/15,2,OC,35,Y,54950
A001,1973,2014/7/15,1,VH,3,Y,54950
A001,1973,2014/7/15,1,VH,3,Y,54950
A001,16005,2014/7/1,1,CA,100,Y,54950
A001,16005,2014/7/1,1,CA,100,Y,54950
A001,16583,2014/7/30,2,OC,24,Y,54950
A001,16583,2014/7/30,2,OC,24,Y,54950
A001,16583,2014/7/30,1,VH,5,Y,54950
A001,16583,2014/7/30,1,VH,5,Y,54950
A001,16580,2014/7/30,2,CH,400,Y,54950
A001,16580,2014/7/30,2,CH,400,Y,54950
A001,16580,2014/7/30,1,CA,500,Y,54950
A001,16580,2014/7/30,1,CA,500,Y,54950
A001,16024,2014/7/29,2,OC,26,Y,54950
A001,16024,2014/7/29,2,OC,26,Y,54950
A001,16024,2014/7/29,1,VH,5,Y,54950
A001,16024,2014/7/29,1,VH,5,Y,54950
A001,16022,2014/7/29,2,OC,27,Y,54950
A001,16022,2014/7/29,2,OC,27,Y,54950
A001,16022,2014/7/29,1,VH,5,Y,54950
A001,16022,2014/7/29,1,VH,5,Y,54950
A001,16021,2014/7/29,2,OC,30,Y,54950
A001,16021,2014/7/29,2,OC,30,Y,54950
A001,16021,2014/7/29,1,VH,10,Y,54950
A001,16021,2014/7/29,1,VH,10,Y,54950
A001,821,2014/7/28,2,OC,36,Y,54950
A001,821,2014/7/28,2,OC,36,Y,54950
A001,821,2014/7/28,1,VH,3,Y,54950
A001,821,2014/7/28,1,VH,3,Y,54950
A001,820,2014/7/28,2,OC,36,Y,54950
A001,820,2014/7/28,2,OC,36,Y,54950
A001,820,2014/7/28,1,VH,3,Y,54950
A001,820,2014/7/28,1,VH,3,Y,54950
A001,14524,2014/7/26,1,OC,40,Y,54950
A001,14524,2014/7/26,1,OC,40,Y,54950
A001,14520,2014/7/26,1,CA,100,Y,54950
A001,14520,2014/7/26,1,CA,100,Y,54950
A001,13895,2014/7/25,2,OC,24,Y,54950
A001,13895,2014/7/25,2,OC,24,Y,54950
A001,13895,2014/7/25,1,VH,5,Y,54950
A001,13895,2014/7/25,1,VH,5,Y,54950
A001,13893,2014/7/25,2,OC,35,Y,54950
A001,13893,2014/7/25,2,OC,35,Y,54950
A001,13893,2014/7/25,1,VH,5,Y,54950
A001,13893,2014/7/25,1,VH,5,Y,54950
A001,12872,2014/7/24,1,OC,40,Y,54950
A001,12872,2014/7/24,1,OC,40,Y,54950
A001,12288,2014/7/23,1,OC,29,Y,54950
A001,12288,2014/7/23,1,OC,29,Y,54950
A001,12286,2014/7/23,1,CA,100,Y,54950
A001,12286,2014/7/23,1,CA,100,Y,54950
A001,11732,2014/7/22,1,OC,29,Y,54950
A001,11732,2014/7/22,1,OC,29,Y,54950
A001,11730,2014/7/22,2,CH,400,Y,54950
A001,11730,2014/7/22,2,CH,400,Y,54950
A001,11730,2014/7/22,1,CA,500,Y,54950
A001,11730,2014/7/22,1,CA,500,Y,54950
A001,3749,2014/7/20,2,OC,26,Y,54950
A001,3749,2014/7/20,2,OC,26,Y,54950
A001,3749,2014/7/20,1,VH,5,Y,54950
A001,3749,2014/7/20,1,VH,5,Y,54950
A001,10057,2014/7/19,1,OC,36,Y,54950
A001,10057,2014/7/19,1,OC,36,Y,54950
A001,17200,2014/7/17,1,CA,100,Y,54950
A001,17200,2014/7/17,1,CA,100,Y,54950
A001,16535,2014/7/16,2,OC,30,Y,54950
A001,16535,2014/7/16,2,OC,30,Y,54950
A001,16535,2014/7/16,1,VH,10,Y,54950
A001,16535,2014/7/16,1,VH,10,Y,54950
A001,16533,2014/7/16,2,OC,24,Y,54950
A001,16533,2014/7/16,2,OC,24,Y,54950
A001,16533,2014/7/16,1,VH,5,Y,54950
A001,16533,2014/7/16,1,VH,5,Y,54950
A001,1972,2014/7/15,1,OC,20,Y,54950
A001,1972,2014/7/15,1,OC,20,Y,54950
A001,2128,2014/7/15,2,OC,38,Y,54950
A001,2128,2014/7/15,2,OC,38,Y,54950
A001,2128,2014/7/15,1,VH,3,Y,54950
A001,2128,2014/7/15,1,VH,3,Y,54950
A001,2124,2014/7/15,1,CA,100,Y,54950
A001,2124,2014/7/15,1,CA,100,Y,54950
A001,775,2014/7/14,2,OC,31,Y,54950
A001,775,2014/7/14,2,OC,31,Y,54950
A001,775,2014/7/14,1,VH,5,Y,54950
A001,775,2014/7/14,1,VH,5,Y,54950
A001,774,2014/7/14,1,OC,44,Y,54950
A001,774,2014/7/14,1,OC,44,Y,54950
A001,15004,2014/7/13,2,OC,27,Y,54950
A001,15004,2014/7/13,2,OC,27,Y,54950
A001,15004,2014/7/13,1,VH,5,Y,54950
A001,15004,2014/7/13,1,VH,5,Y,54950
A001,15003,2014/7/13,1,CA,100,Y,54950
A001,15003,2014/7/13,1,CA,100,Y,54950
A001,13960,2014/7/12,1,OC,21,Y,54950
